Video ID,Video Title,Category ID,Channel Title,Description,Published Date
mVsiIxE_6OM,The Long And Winding Road - 1s Preview,10,The Beatles,"""Because they broke up in 1970 – officially in April when the oldest, Ringo, was 29 and George had just turned 27 – our mental image of them has never aged, frozen forever in sound and vision, a shorthand for eternal youth."" - Mark Ellen


ALL-NEW EDITIONS OF THE BEATLES 1 VIDEO COLLECTION PAIR BEAUTIFULLY RESTORED PROMOTIONAL FILMS AND VIDEOS WITH BRAND NEW STEREO SURROUND AUDIO MIXES. 


Explore The Beatles 1 Blu-ray/DVD at thebeatles.com

Available to pre-order:
1+ Deluxe 2Blu-ray/CD: http://thebeatles1.lnk.to/DeluxeBluRay
1+ Deluxe 2DVD/CD: http://thebeatles1.lnk.to/DeluxeDVD
CD/Blu-ray: http://thebeatles1.lnk.to/CDBlu-Ray
CD/DVD: http://thebeatles1.lnk.to/CDDVD
Blu-ray: http://thebeatles1.lnk.to/Blu-Ray
DVD: http://thebeatles1.lnk.to/DVD
1CD: http://thebeatles1.lnk.to/CD",2015-11-03T14:31:03Z
W4L-2i7cmcM,GET THE BEATLES’ REVOLVER INTO YOUR LIFE WITH THE NEWLY MIXED AND EXPANDED SPECIAL EDITION,10,The Beatles,"Turn off your mind, relax and float downstream… 

On 28th October, 'Revolver' will be released worldwide in a range of beautifully presented, newly-mixed and expanded Special Edition packages.

The new stereo mix, sourced directly from the original four-track master tapes, is brought forth in stunning clarity with the help of cutting edge de-mixing technology developed by Peter Jackson’s WingNut Films Productions Ltd.

Showcasing GRAMMY-winning original album artwork created by Klaus Voormann, the Super Deluxe CD and vinyl house a beautiful book featuring Paul McCartney’s foreword, an introduction by Giles Martin, an enlightening essay by Questlove, and insightful chapters by Kevin Howlett.

Available across 5CD/4LP Super Deluxe, 2CD Deluxe, Picture Disk, 1LP, 1CD, Download and Streaming. Dolby Atmos Mixes + original mono mix accompany never-before-released session recordings and demos, plus the “Paperback Writer” and “Rain” EP.

Pre-order now: https://TheBeatles.lnk.to/Revolver2022",2022-09-26T16:25:16Z
uOlwwoZLoKE,Yellow Submarine US Theatrical Trailer - 2018 (Beatles Official),10,The Beatles,"THE BEATLES’ YELLOW SUBMARINE 
IN THEATERS ACROSS NORTH AMERICA THIS JULY TO CELEBRATE THE 50TH ANNIVERSARY

Restored 4K Theatrical Version With Remixed 5.1 Stereo Surround Sound 

Once upon a time…or maybe twice…there was an unearthly paradise called Pepperland…

NEW YORK / LONDON / LOS ANGELES – APRIL 03, 2018 – Abramorama announced today a deal with Apple Corps Ltd. and Universal Music Group (UMG) to theatrically release The Beatles’ classic 1968 animated feature film, Yellow Submarine, across North America this July in celebration of its 50th anniversary. Abramorama, Apple Corps Ltd. and UMG have teamed to give Beatles fans of all ages the opportunity to come together and share in this visually stunning movie and soundtrack.  Abramorama originally partnered with Apple Corps, Imagine Entertainment, White Horse Pictures, StudioCanal and UMG’s Polygram Entertainment on the Ron Howard documentary The Beatles:  Eight Days a Week – The Touring Years. Abramorama has a proven track record in the music-driven film space, partnering numerous times with Neil Young, Pearl Jam and Green Day and now once again with Apple Corps Ltd.

Yellow Submarine was restored in 4K digital resolution by Paul Rutan Jr. and his team of specialists at Triage Motion Picture Services and Eque Inc.  The film’s songs and score were remixed in 5.1 stereo surround sound at UMG’s Abbey Road Studios by music mix engineer Peter Cobbin. Due to the delicate nature of the hand-drawn original artwork, no automated software was used in the digital clean-up of the film’s restored photochemical elements.  This was all done by hand, frame by frame. 

Richard Abramowitz, CEO of Abramorama said, “We’re thrilled to have the privilege of bringing Yellow Submarine back to the big screen so that 3 generations of happy Beatles fans can enjoy the ground-breaking animation and classic tunes and that have long been part of our collective cultural DNA.”

Directed by George Dunning, and written by Lee Minoff, Al Brodax, Jack Mendelsohn and Erich Segal, Yellow Submarine began its voyage to the screen when Brodax, who had previously produced nearly 40 episodes of ABC’s animated Beatles TV series, approached The Beatles’ manager Brian Epstein with a unique vision for a full-length animated feature.  

Yellow Submarine, based upon a song by John Lennon and Paul McCartney, is a fantastic tale brimming with peace, love, and hope, propelled by Beatles songs, including “Eleanor Rigby,” “When I’m Sixty-Four,” “Lucy in the Sky With Diamonds,” “All You Need Is Love,” and “It’s All Too Much.”  When the film debuted in 1968, it was instantly recognized as a landmark achievement, revolutionizing a genre by integrating the freestyle approach of the era with innovative animation techniques. 

Inspired by the generation’s new trends in art, the film resides with the dazzling Pop Art styles of Andy Warhol, Martin Sharp, Alan Aldridge and Peter Blake. With art direction and production design by Heinz Edelmann, Yellow Submarine is a classic of animated cinema, featuring the creative work of animation directors Robert Balser and Jack Stokes with a team of animators and technical artists.

Information on local screenings can be found here:  http://www.yellowsubmarine.film/

© Subafilms Ltd 1968",2018-04-03T14:51:13Z
Cmqd6PYAvJ8,The Beatles - Let It Be | Special Edition Releases [Official Trailer],10,The Beatles,"The Beatles’ Let It Be Special Edition now available: https://TheBeatles.lnk.to/LetItBe2021

For more information: https://www.thebeatles.com

This fall, The Beatles invite everyone everywhere to get back to the chart-topping 1970 album, Let It Be.

Experience New Mixes in Stereo, 5.1 Surround, Dolby Atmos and explore never before released session recordings, rehearsals & studio Jams;  plus the previously unreleased 1969 Get Back LP Mix by Glyn Johns.

Presented in Special edition packages; Super deluxe 5CD + Blu-ray set, super deluxe 4LP + 12” EP vinyl, deluxe 2CD, standard CD, limited edition picture disc and standard 1LP vinyl, digital & streaming.

Stream:
“Let It Be” (2021 Stereo Mix): https://TheBeatles.lnk.to/LetItBe2021StereoMix
“Don’t Let Me Down” (First Rooftop Performance): https://TheBeatles.lnk.to/DontLetMeDown2021
“For You Blue” (Get Back LP Mix): https://TheBeatles.lnk.to/ForYouBlue2021  
“Get Back” (Take 8): https://TheBeatles.lnk.to/GetBackTake8
“One After 909” (Take 3): https://TheBeatles.lnk.to/OneAfter909Take3
“I Me Mine” (1970 Glyn Johns Mix): https://TheBeatles.lnk.to/IMeMine1970Mix
“Across The Universe” (2021 Mix): https://TheBeatles.lnk.to/AcrossTheUniverse2021Mix

Subscribe to The Beatles on YouTube https://thebeatles.lnk.to/subscribe

#TheBeatles #LetItBe #OfficialTrailer #SpecialEditionReleases #JohnLennon #PaulMcCartney #GeorgeHarrison #RingoStarr",2021-08-26T13:03:44Z
sa3948JzWCc,The Inner Light,10,The Beatles,"The Material World Foundation, created by George Harrison in 1973, is today donating $500,000 to the MusiCares COVID-19 Relief Fund, Save the Children, and Medecins Sans Frontieres (Doctors Without Borders) charities, which are providing much needed aid and care during this COVID-19 pandemic.
http://materialworldfoundation.com

WITHOUT GOING OUT OF MY DOOR, I CAN KNOW ALL THINGS OF EARTH.
WITHOUT LOOKING OUT OF MY WINDOW, I COULD KNOW THE WAYS OF HEAVEN.

Olivia Harrison said, ""These lyrics sung by George are a positive reminder to all of us who are isolating, quarantined or respecting the request to stay in our homes. Let’s get and stay connected at this difficult time.  There are things we can do to help and we invite you to share your Inner Light.""

The Inner Light Challenge:
Material World Foundation will donate another $1 (up to $100,000) for every one of you who shares their own ""Inner Light"" moment on social media using the hashtag #innerlight2020 

This can be a verse, a chorus, or a line from the song, sing it, play it, hum it, strum it, paint it, knit it, chant it, plant it, pray or meditate and post it to social media. 

For more information: http://materialworldfoundation.com

Remember to hashtag #innerlight2020

The Inner Light (Remastered 2009) - Performed by The Beatles
℗ 2009 Calderstone Productions Limited (a division of Universal Music Group)
Producer: George Martin
Composer Lyricist: George Harrison",2020-03-26T16:50:55Z
FvR2_CCoX60,Let It Be Official Trailer,10,The Beatles,"See The Beatles like never before.
Let it Be, fully restored for the first time, is streaming May 8 only on @DisneyPlus.",2024-04-30T01:03:41Z
Yx_7xjpySK0,"The Beatles At Home, From The Film Help!",10,The Beatles, ,2011-09-09T12:50:02Z
G2uCNd1AVJo,Today Pepperland Goes Blue!,10,The Beatles,The Yellow Submarine is en route and the countdown is under way.... http://www.yellowsubmarine.com,2012-05-17T12:39:18Z
npiczLJ3SEc,The Beatles ‘Red’ and ‘Blue’ albums (2023 editions) are out now!,10,The Beatles,"Listen to the newly-expanded and remixed albums today, including the last Beatles song, “Now And Then”. 

Buy here: 'Red' and 'Blue': https://TheBeatles.lnk.to/RedAndBlue2023YT 

Watch more videos from The Beatles: https://thebeatles.lnk.to/YTPlaylists
Subscribe to The Beatles’ YouTube channel & ring the bell to never miss a new video: https://thebeatles.lnk.to/YTSignup
Sign up for The Beatles’ Official Email List: https://www.thebeatles.com/newsletter
 
Stream The Beatles:
🎙️ Apple Music: https://thebeatles.lnk.to/stream/AppleMusic
🎙️ Spotify: https://thebeatles.lnk.to/stream/Spotify
🎙️ Amazon Music: https://thebeatles.lnk.to/stream/AmazonMusic
🎙️ Pandora: https://thebeatles.lnk.to/stream/Pandora
🎙️ Tidal: https://thebeatles.lnk.to/stream/Tidal
🎙️ Deezer: https://thebeatles.lnk.to/stream/Deezer
🎙️ YouTube Music: https://thebeatles.lnk.to/stream/YouTubeMusic
 
Follow The Beatles:
⭐ https://www.thebeatles.com
⭐ https://www.instagram.com/thebeatles
⭐ https://www.facebook.com/thebeatles
⭐ https://www.tiktok.com/@thebeatles
⭐ https://twitter.com/thebeatles
 
#TheBeatles #NowAndThen #JohnLennon #PaulMcCartney #GeorgeHarrison #RingoStarr",2023-11-10T10:03:00Z
6wOsA-Bagpg,Celebrating the anniversary of our 1969 classic ‘Abbey Road’ with Amazon Music HD,10,The Beatles,"Thank you to all the fans for being a part of this incredible journey. Experience ‘Abbey Road’ with new depth now on #AmazonMusicHD.
https://amzn.to/2CIagqt",2019-11-18T17:04:18Z
aeZKBAGOYgg,‘That was one of the great things about John…’,10,The Beatles,Listen to Paul talk about writing Hey Jude and how John helped make the song we love today. Are you listening to #RedandBlue?,2023-12-01T15:39:25Z
sJTIeVxgSXc,All My Loving - Ed Sullivan,10,The Beatles, ,2013-01-16T15:14:43Z
Dd5WSqOJF7M,The Beatles REVOLVER Special Editions - Official Trailer,10,The Beatles,"GET THE BEATLES’ REVOLVER INTO YOUR LIFE WITH THE NEWLY MIXED AND EXPANDED SPECIAL EDITION

Turn off your mind, relax and float downstream… 

On 28th October, 'Revolver' will be released worldwide in a range of beautifully presented, newly-mixed and expanded Special Edition packages.

The new stereo mix, sourced directly from the original four-track master tapes, is brought forth in stunning clarity with the help of cutting edge de-mixing technology developed by Peter Jackson’s WingNut Films Productions Ltd.

Showcasing GRAMMY-winning original album artwork created by Klaus Voormann, the Super Deluxe CD and vinyl house a beautiful book featuring Paul McCartney’s foreword, an introduction by Giles Martin, an enlightening essay by Questlove, and insightful chapters by Kevin Howlett.

Available across 5CD/4LP Super Deluxe, 2CD Deluxe, Picture Disk, 1LP, 1CD, Download and Streaming. Dolby Atmos Mixes + original mono mix accompany never-before-released session recordings and demos, plus the “Paperback Writer” and “Rain” EP.

Pre-order now: https://TheBeatles.lnk.to/Revolver2022",2022-09-07T12:53:29Z
RfNoXfJoESc,George Talks About Writing Here Comes The Sun #HereComesTheSun #BehindTheSong #RedAndBlue,10,The Beatles,"'I picked up the guitar, which was the first time I'd played for a couple of weeks because I'd been so busy, and the first thing that came out was the song' - George",2023-12-05T16:32:25Z
F8dooVupRSc,THE BEATLES NOW STREAMING,10,The Beatles,"On December 24 at 12:01am local time -- here, there and everywhere -- 

The Beatles’ music is available for streaming worldwide via the following nine services:

Apple Music
Deezer
Google Play
Microsoft Groove
Napster / Rhapsody
Amazon Prime Music
Slacker Radio
Spotify
Tidal

Track The Beatles streaming launch around the world, from east to west, on thebeatles.com.

Happy Crimble, with love from us to you.

Please Please Me
With The Beatles
A Hard Day's Night
Beatles For Sale
Help!
Rubber Soul
Revolver
Sgt. Pepper's Lonely Hearts Club Band
Magical Mystery Tour
The Beatles
Yellow Submarine
Abbey Road
Let It Be
The Beatles 1962 – 1966
The Beatles 1967 – 1970
Past Masters (Volumes 1 & 2)
1",2015-12-23T10:41:08Z
Vi2TIV3rYzc,Jeremy Hillary Boob PhD.,10,The Beatles,"The Beatles meet the Nowhere Man in Yellow Submarine.

Visit the official website at http://www.yellowsubmarine.com

You can order your copy at http://www.thebeatles.com/store and at  http://www.itunes.com/thebeatles",2012-06-05T17:55:31Z
n_GOaRaTaJo,The Beatles Help!  Blu-Ray Trailer 2013,10,The Beatles,"""Absurd, delightful and exuberantly messy, Help! is a pure pleasure to watch.""
-- The New York Times

On June 24 (June 25 in North America), Help!, The Beatles' second feature film, makes its eagerly awaited Blu-ray debut in a single-disc package, pairing the digitally restored film and 5.1 soundtrack with an hour of extra features. An introduction by the film's director, Richard Lester, and an appreciation by Martin Scorsese are included in the Blu-ray's booklet.

Help!'s Blu-ray edition follows the 2012 release of The Beatles' digitally restored Yellow Submarine and Magical Mystery Tour feature films on Blu-ray, DVD and iTunes. 

Find out more about the release at thebeatles.com: http://gnikn.us/12AuHM2",2015-05-15T11:11:19Z
MM7v61MvHco,🎶  We’ve got a feeling 🎶  you won’t want to miss this.,10,The Beatles,"Stream The Beatles: Get Back now on  @disneyplus  

Made entirely from never-before-seen, restored footage, it provides the most intimate and honest glimpse into the creative process and relationship between John, Paul, George, and Ringo ever filmed.  

“The Beatles: Get Back” takes audiences back in time to the band’s January 1969 recording sessions, which became a pivotal moment in music history. The docuseries showcases The Beatles’ creative process as they attempt to write 14 new songs in preparation for their first live concert in over two years. Faced with a nearly impossible deadline, the strong bonds of friendship shared by John Lennon, Paul McCartney, George Harrison, and Ringo Starr are put to the test. The docuseries is compiled from nearly 60 hours of unseen footage shot over 21 days, directed by Michael Lindsay-Hogg in 1969, and from more than 150 hours of unheard audio, most of which has been locked in a vault for over half a century.

Jackson is the only person in 50 years to have been given access to this Beatles treasure trove, all of which has now been brilliantly restored.  What emerges is an unbelievably intimate portrait of The Beatles, showing how, with their backs against the wall, they could still rely on their friendship, good humor, and creative genius. While plans derail and relationships are put to the test, some of the world’s most iconic songs are composed and performed. The docuseries features – for the first time in its entirety – The Beatles’ last live performance as a group, the unforgettable rooftop concert on London’s Savile Row, as well as other songs and classic compositions featured on the band’s final two albums, Abbey Road and Let It Be.",2022-01-14T15:55:21Z
9lhYYFxFDHo,"The Beatles Get Back - ""We've Never Learned So Many New Numbers At Once""",10,The Beatles,"Check out this clip of The Beatles writing and rehearsing new tracks from The Beatles Get Back. Part One and Two of Peter Jackson’s three-part Original Docuseries are now streaming only on Disney+.  Part 3 streams from 27th November.

Watch The Beatles: Get Back: 
https://www.disneyplus.com/series/the-beatles-get-back/7DcWEeWVqrkED",2021-11-26T11:12:28Z
xXNv9CwrAOk,The Beatles: GetBack - The Rooftop Concert in IMAX,10,The Beatles,"US fans: In 10 days, experience the anniversary screening event of The Beatles: GetBack - The Rooftop Concert in IMAX. 

Tickets are going fast for this special screening and filmmaker Q&A on January 30.

Get tickets now: http://tickets.imax.com
#TheBeatlesGetBack",2022-01-20T22:31:18Z
